Queue Length: 10, Counter: 1, Threshold: 4
Queue Length: 5, Counter: 4, Threshold: 150

Queue Length: 5, Counter: 5, Threshold: 150

Queue Length: 5, Counter: 6, Threshold: 150

Queue Length: 5, Counter: 7, Threshold: 150

Queue Length: 5, Counter: 8, Threshold: 150

Queue Length: 4, Counter: 9, Threshold: 300

Queue Length: 5, Counter: 10, Threshold: 150

Queue Length: 5, Counter: 11, Threshold: 150

Queue Length: 5, Counter: 12, Threshold: 150

Queue Length: 5, Counter: 13, Threshold: 150

Queue Length: 5, Counter: 14, Threshold: 150

Queue Length: 5, Counter: 15, Threshold: 150

Queue Length: 5, Counter: 16, Threshold: 150

Queue Length: 5, Counter: 17, Threshold: 150

Queue Length: 5, Counter: 18, Threshold: 150

Queue Length: 5, Counter: 19, Threshold: 150

Queue Length: 5, Counter: 20, Threshold: 150

Queue Length: 5, Counter: 21, Threshold: 150

Queue Length: 5, Counter: 22, Threshold: 150

Queue Length: 5, Counter: 23, Threshold: 150

Queue Length: 5, Counter: 24, Threshold: 150

Queue Length: 5, Counter: 25, Threshold: 150

Queue Length: 5, Counter: 26, Threshold: 150

Queue Length: 5, Counter: 27, Threshold: 150

Queue Length: 5, Counter: 28, Threshold: 150

Queue Length: 5, Counter: 29, Threshold: 150

Queue Length: 5, Counter: 30, Threshold: 150

Queue Length: 5, Counter: 31, Threshold: 150

Queue Length: 5, Counter: 32, Threshold: 150

Queue Length: 5, Counter: 33, Threshold: 150

Queue Length: 5, Counter: 34, Threshold: 150

Queue Length: 5, Counter: 35, Threshold: 150

Queue Length: 5, Counter: 36, Threshold: 150

Queue Length: 5, Counter: 37, Threshold: 150

Queue Length: 5, Counter: 38, Threshold: 150

Queue Length: 5, Counter: 39, Threshold: 150

Queue Length: 5, Counter: 40, Threshold: 150

Queue Length: 5, Counter: 41, Threshold: 150

Queue Length: 5, Counter: 42, Threshold: 150

Queue Length: 5, Counter: 43, Threshold: 150

Queue Length: 5, Counter: 44, Threshold: 150

Queue Length: 5, Counter: 45, Threshold: 150

Queue Length: 5, Counter: 46, Threshold: 150

Queue Length: 5, Counter: 47, Threshold: 150

Queue Length: 5, Counter: 48, Threshold: 150

Queue Length: 5, Counter: 49, Threshold: 150

Queue Length: 5, Counter: 50, Threshold: 150

Queue Length: 5, Counter: 51, Threshold: 150

Queue Length: 5, Counter: 52, Threshold: 150

Queue Length: 5, Counter: 53, Threshold: 150

Queue Length: 5, Counter: 54, Threshold: 150

Queue Length: 5, Counter: 55, Threshold: 150

Queue Length: 5, Counter: 56, Threshold: 150

Queue Length: 5, Counter: 57, Threshold: 150

Queue Length: 5, Counter: 58, Threshold: 150

Queue Length: 5, Counter: 59, Threshold: 150

Queue Length: 5, Counter: 60, Threshold: 150

Queue Length: 5, Counter: 61, Threshold: 150

Queue Length: 5, Counter: 62, Threshold: 150

Queue Length: 5, Counter: 63, Threshold: 150

Queue Length: 5, Counter: 64, Threshold: 150

Queue Length: 5, Counter: 65, Threshold: 150

Queue Length: 5, Counter: 66, Threshold: 150

Queue Length: 5, Counter: 67, Threshold: 150

Queue Length: 5, Counter: 68, Threshold: 150

Queue Length: 5, Counter: 69, Threshold: 150

Queue Length: 5, Counter: 70, Threshold: 150

Queue Length: 5, Counter: 71, Threshold: 150

Queue Length: 5, Counter: 72, Threshold: 150

Queue Length: 5, Counter: 73, Threshold: 150

Queue Length: 5, Counter: 74, Threshold: 150

Queue Length: 5, Counter: 75, Threshold: 150

Queue Length: 5, Counter: 76, Threshold: 150

Queue Length: 5, Counter: 77, Threshold: 150

Queue Length: 5, Counter: 78, Threshold: 150

Queue Length: 5, Counter: 79, Threshold: 150

Queue Length: 5, Counter: 80, Threshold: 150

Queue Length: 5, Counter: 81, Threshold: 150

Queue Length: 5, Counter: 82, Threshold: 150

Queue Length: 5, Counter: 83, Threshold: 150

Queue Length: 5, Counter: 84, Threshold: 150

Queue Length: 5, Counter: 85, Threshold: 150

Queue Length: 5, Counter: 86, Threshold: 150

Queue Length: 5, Counter: 87, Threshold: 150

Queue Length: 5, Counter: 88, Threshold: 150

Queue Length: 5, Counter: 89, Threshold: 150

Queue Length: 5, Counter: 90, Threshold: 150

Queue Length: 5, Counter: 91, Threshold: 150

Queue Length: 5, Counter: 92, Threshold: 150

Queue Length: 5, Counter: 93, Threshold: 150

Queue Length: 5, Counter: 94, Threshold: 150

Queue Length: 5, Counter: 95, Threshold: 150

Queue Length: 5, Counter: 96, Threshold: 150

Queue Length: 5, Counter: 97, Threshold: 150

Queue Length: 5, Counter: 98, Threshold: 150

Queue Length: 5, Counter: 99, Threshold: 150

Queue Length: 5, Counter: 100, Threshold: 150

Queue Length: 5, Counter: 101, Threshold: 150

Queue Length: 5, Counter: 102, Threshold: 150

Queue Length: 5, Counter: 103, Threshold: 150

Queue Length: 5, Counter: 104, Threshold: 150

Queue Length: 5, Counter: 105, Threshold: 150

Queue Length: 5, Counter: 106, Threshold: 150

Queue Length: 5, Counter: 107, Threshold: 150

Queue Length: 5, Counter: 108, Threshold: 150

Queue Length: 5, Counter: 109, Threshold: 150

Queue Length: 5, Counter: 110, Threshold: 150

Queue Length: 5, Counter: 111, Threshold: 150

Queue Length: 5, Counter: 112, Threshold: 150

Queue Length: 5, Counter: 113, Threshold: 150

Queue Length: 5, Counter: 114, Threshold: 150

Queue Length: 5, Counter: 115, Threshold: 150

Queue Length: 5, Counter: 116, Threshold: 150

Queue Length: 5, Counter: 117, Threshold: 150

Queue Length: 5, Counter: 118, Threshold: 150

Queue Length: 5, Counter: 119, Threshold: 150

Queue Length: 5, Counter: 120, Threshold: 150

Queue Length: 5, Counter: 121, Threshold: 150

Queue Length: 5, Counter: 122, Threshold: 150

Queue Length: 5, Counter: 123, Threshold: 150

Queue Length: 5, Counter: 124, Threshold: 150

Queue Length: 5, Counter: 125, Threshold: 150

Queue Length: 5, Counter: 126, Threshold: 150

Queue Length: 5, Counter: 127, Threshold: 150

Queue Length: 5, Counter: 128, Threshold: 150

Queue Length: 5, Counter: 129, Threshold: 150

Queue Length: 5, Counter: 130, Threshold: 150

Queue Length: 5, Counter: 131, Threshold: 150

Queue Length: 5, Counter: 132, Threshold: 150

Queue Length: 5, Counter: 133, Threshold: 150

Queue Length: 5, Counter: 134, Threshold: 150

Queue Length: 5, Counter: 135, Threshold: 150

Queue Length: 5, Counter: 136, Threshold: 150

Queue Length: 5, Counter: 137, Threshold: 150

Queue Length: 5, Counter: 138, Threshold: 150

Queue Length: 5, Counter: 139, Threshold: 150

Queue Length: 5, Counter: 140, Threshold: 150

Queue Length: 5, Counter: 141, Threshold: 150

Queue Length: 5, Counter: 142, Threshold: 150

Queue Length: 5, Counter: 143, Threshold: 150

Queue Length: 5, Counter: 144, Threshold: 150

Queue Length: 5, Counter: 145, Threshold: 150

Queue Length: 5, Counter: 146, Threshold: 150

Queue Length: 5, Counter: 147, Threshold: 150

Queue Length: 5, Counter: 148, Threshold: 150

Queue Length: 5, Counter: 149, Threshold: 150

Queue Length: 4, Counter: 150, Threshold: 300

Queue Length: 4, Counter: 151, Threshold: 300

Queue Length: 5, Counter: 0, Threshold: 150

Queue Length: 4, Counter: 1, Threshold: 300

Queue Length: 4, Counter: 2, Threshold: 300

Queue Length: 4, Counter: 3, Threshold: 300

Queue Length: 4, Counter: 4, Threshold: 300

Queue Length: 4, Counter: 5, Threshold: 300

Queue Length: 4, Counter: 6, Threshold: 300

Queue Length: 4, Counter: 7, Threshold: 300

Queue Length: 4, Counter: 8, Threshold: 300

Queue Length: 4, Counter: 9, Threshold: 300

Queue Length: 4, Counter: 10, Threshold: 300

Queue Length: 4, Counter: 11, Threshold: 300

Queue Length: 4, Counter: 12, Threshold: 300

Queue Length: 4, Counter: 13, Threshold: 300

Queue Length: 4, Counter: 14, Threshold: 300

Queue Length: 4, Counter: 15, Threshold: 300

Queue Length: 4, Counter: 16, Threshold: 300

Queue Length: 4, Counter: 17, Threshold: 300

Queue Length: 4, Counter: 18, Threshold: 300

Queue Length: 4, Counter: 19, Threshold: 300

Queue Length: 4, Counter: 20, Threshold: 300

Queue Length: 4, Counter: 21, Threshold: 300

Queue Length: 4, Counter: 22, Threshold: 300

Queue Length: 3, Counter: 23, Threshold: 600

Queue Length: 4, Counter: 24, Threshold: 300

Queue Length: 4, Counter: 25, Threshold: 300

Queue Length: 4, Counter: 26, Threshold: 300

Queue Length: 4, Counter: 27, Threshold: 300

Queue Length: 4, Counter: 28, Threshold: 300

Queue Length: 4, Counter: 29, Threshold: 300

Queue Length: 4, Counter: 30, Threshold: 300

Queue Length: 4, Counter: 31, Threshold: 300

Queue Length: 4, Counter: 32, Threshold: 300

Queue Length: 4, Counter: 33, Threshold: 300

Queue Length: 4, Counter: 34, Threshold: 300

Queue Length: 4, Counter: 35, Threshold: 300

Queue Length: 3, Counter: 36, Threshold: 600

Queue Length: 4, Counter: 37, Threshold: 300

Queue Length: 4, Counter: 38, Threshold: 300

Queue Length: 4, Counter: 39, Threshold: 300

Queue Length: 4, Counter: 40, Threshold: 300

Queue Length: 4, Counter: 41, Threshold: 300

Queue Length: 4, Counter: 42, Threshold: 300

Queue Length: 4, Counter: 43, Threshold: 300

Queue Length: 4, Counter: 44, Threshold: 300

Queue Length: 4, Counter: 45, Threshold: 300

Queue Length: 4, Counter: 46, Threshold: 300

Queue Length: 4, Counter: 47, Threshold: 300

Queue Length: 4, Counter: 48, Threshold: 300

Queue Length: 4, Counter: 49, Threshold: 300

Queue Length: 4, Counter: 50, Threshold: 300

Queue Length: 4, Counter: 51, Threshold: 300

Queue Length: 4, Counter: 52, Threshold: 300

Queue Length: 4, Counter: 53, Threshold: 300

Queue Length: 4, Counter: 54, Threshold: 300

Queue Length: 4, Counter: 55, Threshold: 300

Queue Length: 4, Counter: 56, Threshold: 300

Queue Length: 4, Counter: 57, Threshold: 300

Queue Length: 4, Counter: 58, Threshold: 300

Queue Length: 4, Counter: 59, Threshold: 300

Queue Length: 4, Counter: 60, Threshold: 300

Queue Length: 4, Counter: 61, Threshold: 300

Queue Length: 4, Counter: 62, Threshold: 300

Queue Length: 4, Counter: 63, Threshold: 300

Queue Length: 4, Counter: 64, Threshold: 300

Queue Length: 4, Counter: 65, Threshold: 300

Queue Length: 4, Counter: 66, Threshold: 300

Queue Length: 4, Counter: 67, Threshold: 300

Queue Length: 4, Counter: 68, Threshold: 300

Queue Length: 4, Counter: 69, Threshold: 300

Queue Length: 4, Counter: 70, Threshold: 300

Queue Length: 4, Counter: 71, Threshold: 300

Queue Length: 4, Counter: 72, Threshold: 300

Queue Length: 4, Counter: 73, Threshold: 300

Queue Length: 4, Counter: 74, Threshold: 300

Queue Length: 4, Counter: 75, Threshold: 300

Queue Length: 4, Counter: 76, Threshold: 300

Queue Length: 4, Counter: 77, Threshold: 300

Queue Length: 4, Counter: 78, Threshold: 300

Queue Length: 4, Counter: 79, Threshold: 300

Queue Length: 4, Counter: 80, Threshold: 300

Queue Length: 4, Counter: 81, Threshold: 300

Queue Length: 4, Counter: 82, Threshold: 300

Queue Length: 4, Counter: 83, Threshold: 300

Queue Length: 4, Counter: 84, Threshold: 300

Queue Length: 4, Counter: 85, Threshold: 300

Queue Length: 4, Counter: 86, Threshold: 300

Queue Length: 4, Counter: 87, Threshold: 300

Queue Length: 4, Counter: 88, Threshold: 300

Queue Length: 4, Counter: 89, Threshold: 300

Queue Length: 4, Counter: 90, Threshold: 300

Queue Length: 4, Counter: 91, Threshold: 300

Queue Length: 4, Counter: 92, Threshold: 300

Queue Length: 4, Counter: 93, Threshold: 300

Queue Length: 4, Counter: 94, Threshold: 300

Queue Length: 4, Counter: 95, Threshold: 300

Queue Length: 4, Counter: 96, Threshold: 300

Queue Length: 4, Counter: 97, Threshold: 300

Queue Length: 4, Counter: 98, Threshold: 300

Queue Length: 4, Counter: 99, Threshold: 300

Queue Length: 4, Counter: 100, Threshold: 300

Queue Length: 4, Counter: 101, Threshold: 300

Queue Length: 4, Counter: 102, Threshold: 300

Queue Length: 4, Counter: 103, Threshold: 300

Queue Length: 4, Counter: 104, Threshold: 300

Queue Length: 4, Counter: 105, Threshold: 300

Queue Length: 4, Counter: 106, Threshold: 300

Queue Length: 4, Counter: 107, Threshold: 300

Queue Length: 4, Counter: 108, Threshold: 300

Queue Length: 4, Counter: 109, Threshold: 300

Queue Length: 3, Counter: 110, Threshold: 600

Queue Length: 4, Counter: 111, Threshold: 300

Queue Length: 4, Counter: 112, Threshold: 300

Queue Length: 4, Counter: 113, Threshold: 300

Queue Length: 4, Counter: 114, Threshold: 300

Queue Length: 4, Counter: 115, Threshold: 300

Queue Length: 4, Counter: 116, Threshold: 300

Queue Length: 4, Counter: 117, Threshold: 300

Queue Length: 4, Counter: 118, Threshold: 300

Queue Length: 4, Counter: 119, Threshold: 300

Queue Length: 4, Counter: 120, Threshold: 300

Queue Length: 4, Counter: 121, Threshold: 300

Queue Length: 3, Counter: 122, Threshold: 600

Queue Length: 4, Counter: 123, Threshold: 300

Queue Length: 4, Counter: 124, Threshold: 300

Queue Length: 4, Counter: 125, Threshold: 300

Queue Length: 4, Counter: 126, Threshold: 300

Queue Length: 4, Counter: 127, Threshold: 300

Queue Length: 4, Counter: 128, Threshold: 300

Queue Length: 4, Counter: 129, Threshold: 300

Queue Length: 4, Counter: 130, Threshold: 300

Queue Length: 4, Counter: 131, Threshold: 300

Queue Length: 4, Counter: 132, Threshold: 300

Queue Length: 4, Counter: 133, Threshold: 300

Queue Length: 4, Counter: 134, Threshold: 300

Queue Length: 4, Counter: 135, Threshold: 300

Queue Length: 4, Counter: 136, Threshold: 300

Queue Length: 4, Counter: 137, Threshold: 300

Queue Length: 4, Counter: 138, Threshold: 300

Queue Length: 4, Counter: 139, Threshold: 300

Queue Length: 4, Counter: 140, Threshold: 300

Queue Length: 4, Counter: 141, Threshold: 300

Queue Length: 4, Counter: 142, Threshold: 300

Queue Length: 4, Counter: 143, Threshold: 300

Queue Length: 4, Counter: 144, Threshold: 300

Queue Length: 4, Counter: 145, Threshold: 300

Queue Length: 4, Counter: 146, Threshold: 300

Queue Length: 4, Counter: 147, Threshold: 300

Queue Length: 4, Counter: 148, Threshold: 300

Queue Length: 4, Counter: 149, Threshold: 300

Queue Length: 4, Counter: 150, Threshold: 300

Queue Length: 4, Counter: 151, Threshold: 300

Queue Length: 4, Counter: 152, Threshold: 300

Queue Length: 4, Counter: 153, Threshold: 300

Queue Length: 4, Counter: 154, Threshold: 300

Queue Length: 4, Counter: 155, Threshold: 300

Queue Length: 4, Counter: 156, Threshold: 300

Queue Length: 4, Counter: 157, Threshold: 300

Queue Length: 4, Counter: 158, Threshold: 300

Queue Length: 4, Counter: 159, Threshold: 300

Queue Length: 4, Counter: 160, Threshold: 300

Queue Length: 4, Counter: 161, Threshold: 300

Queue Length: 4, Counter: 162, Threshold: 300

Queue Length: 4, Counter: 163, Threshold: 300

Queue Length: 4, Counter: 164, Threshold: 300

Queue Length: 4, Counter: 165, Threshold: 300

Queue Length: 4, Counter: 166, Threshold: 300

Queue Length: 4, Counter: 167, Threshold: 300

Queue Length: 4, Counter: 168, Threshold: 300

Queue Length: 4, Counter: 169, Threshold: 300

Queue Length: 4, Counter: 170, Threshold: 300

Queue Length: 4, Counter: 171, Threshold: 300

Queue Length: 4, Counter: 172, Threshold: 300

Queue Length: 4, Counter: 173, Threshold: 300

Queue Length: 4, Counter: 174, Threshold: 300

Queue Length: 4, Counter: 175, Threshold: 300

Queue Length: 4, Counter: 176, Threshold: 300

Queue Length: 4, Counter: 177, Threshold: 300

Queue Length: 4, Counter: 178, Threshold: 300

Queue Length: 4, Counter: 179, Threshold: 300

Queue Length: 4, Counter: 180, Threshold: 300

Queue Length: 4, Counter: 181, Threshold: 300

Queue Length: 4, Counter: 182, Threshold: 300

Queue Length: 4, Counter: 183, Threshold: 300

Queue Length: 4, Counter: 184, Threshold: 300

Queue Length: 4, Counter: 185, Threshold: 300

Queue Length: 4, Counter: 186, Threshold: 300

Queue Length: 4, Counter: 187, Threshold: 300

Queue Length: 4, Counter: 188, Threshold: 300

Queue Length: 4, Counter: 189, Threshold: 300

Queue Length: 4, Counter: 190, Threshold: 300

Queue Length: 4, Counter: 191, Threshold: 300

Queue Length: 4, Counter: 192, Threshold: 300

Queue Length: 4, Counter: 193, Threshold: 300

Queue Length: 4, Counter: 194, Threshold: 300

Queue Length: 4, Counter: 195, Threshold: 300

Queue Length: 4, Counter: 196, Threshold: 300

Queue Length: 4, Counter: 197, Threshold: 300

Queue Length: 4, Counter: 198, Threshold: 300

Queue Length: 4, Counter: 199, Threshold: 300

Queue Length: 4, Counter: 200, Threshold: 300

Queue Length: 4, Counter: 201, Threshold: 300

Queue Length: 4, Counter: 202, Threshold: 300

Queue Length: 4, Counter: 203, Threshold: 300

Queue Length: 4, Counter: 204, Threshold: 300

Queue Length: 4, Counter: 205, Threshold: 300

Queue Length: 4, Counter: 206, Threshold: 300

Queue Length: 4, Counter: 207, Threshold: 300

Queue Length: 4, Counter: 208, Threshold: 300

Queue Length: 4, Counter: 209, Threshold: 300

Queue Length: 4, Counter: 210, Threshold: 300

Queue Length: 4, Counter: 211, Threshold: 300

Queue Length: 4, Counter: 212, Threshold: 300

Queue Length: 4, Counter: 213, Threshold: 300

Queue Length: 4, Counter: 214, Threshold: 300

Queue Length: 4, Counter: 215, Threshold: 300

Queue Length: 4, Counter: 216, Threshold: 300

Queue Length: 4, Counter: 217, Threshold: 300

Queue Length: 4, Counter: 218, Threshold: 300

Queue Length: 4, Counter: 219, Threshold: 300

Queue Length: 4, Counter: 220, Threshold: 300

Queue Length: 4, Counter: 221, Threshold: 300

Queue Length: 4, Counter: 222, Threshold: 300

Queue Length: 4, Counter: 223, Threshold: 300

Queue Length: 4, Counter: 224, Threshold: 300

Queue Length: 4, Counter: 225, Threshold: 300

Queue Length: 4, Counter: 226, Threshold: 300

Queue Length: 4, Counter: 227, Threshold: 300

Queue Length: 4, Counter: 228, Threshold: 300

Queue Length: 4, Counter: 229, Threshold: 300

Queue Length: 4, Counter: 230, Threshold: 300

Queue Length: 4, Counter: 231, Threshold: 300

Queue Length: 4, Counter: 232, Threshold: 300

Queue Length: 4, Counter: 233, Threshold: 300

Queue Length: 4, Counter: 234, Threshold: 300

Queue Length: 4, Counter: 235, Threshold: 300

Queue Length: 4, Counter: 236, Threshold: 300

Queue Length: 4, Counter: 237, Threshold: 300

Queue Length: 4, Counter: 238, Threshold: 300

Queue Length: 4, Counter: 239, Threshold: 300

Queue Length: 4, Counter: 240, Threshold: 300

Queue Length: 4, Counter: 241, Threshold: 300

Queue Length: 4, Counter: 242, Threshold: 300

Queue Length: 4, Counter: 243, Threshold: 300

Queue Length: 4, Counter: 244, Threshold: 300

Queue Length: 4, Counter: 245, Threshold: 300

Queue Length: 4, Counter: 246, Threshold: 300

Queue Length: 4, Counter: 247, Threshold: 300

Queue Length: 4, Counter: 248, Threshold: 300

Queue Length: 4, Counter: 249, Threshold: 300

Queue Length: 4, Counter: 250, Threshold: 300

Queue Length: 4, Counter: 251, Threshold: 300

Queue Length: 4, Counter: 252, Threshold: 300

Queue Length: 4, Counter: 253, Threshold: 300

Queue Length: 4, Counter: 254, Threshold: 300

Queue Length: 4, Counter: 255, Threshold: 300

Queue Length: 4, Counter: 256, Threshold: 300

Queue Length: 4, Counter: 257, Threshold: 300

Queue Length: 4, Counter: 258, Threshold: 300

Queue Length: 4, Counter: 259, Threshold: 300

